,# Nodes,# Cambios,Tiempo,Iteraciones
0,15,2,0.06276607513427734,76
1,25,2,0.06960701942443848,139
2,50,2,0.09978914260864258,288
3,100,2,0.19592523574829102,663
4,500,2,7.227228403091431,4557
5,1000,2,51.35408329963684,8987
6,15,10,0.0532832145690918,158
7,25,10,0.07345461845397949,264
8,50,10,0.19844961166381836,571
9,100,10,0.633380651473999,1244
10,500,10,25.83606505393982,5753
11,1000,10,192.59683108329773,12677
12,15,50,0.1039888858795166,576
13,25,50,0.2690446376800537,840
14,50,50,0.8319306373596191,1586
15,100,50,2.3513073921203613,2773
16,500,50,113.08603167533875,17156
17,1000,50,698.374195098877,29408
18,15,100,0.1686711311340332,912
19,25,100,0.3998589515686035,1564
20,50,100,1.450688123703003,2846
21,100,100,4.224924087524414,5483
22,500,100,206.2980353832245,28882
23,1000,100,1330.4122424125671,53912
